Time,Speed,Date Route,Analysis Type,Accelerometer Location,Route,Exceedence Instance,Series_y,Date Exc,Speed Bracket,Nearest Station,Series,Run
430.85,96.93649208,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
431.03,97.34551642,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
431.55,98.10022388,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
431.56,98.09814576,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
431.74,97.9782052,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
431.94,97.78950941,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
432.13,97.72447131,23/10/2015,Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
432.41,97.85211389,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
432.78,97.9217209,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
432.79,97.92263482,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
432.88,97.94351039,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
433.07,98.09737332,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
433.74,98.62980009,23/10/2015,GPS,GPS,,,,,GPS,,1,1
434.03,98.65796914,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
434.42,99.1459857,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
434.43,99.15913475,23/10/2015,Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
435.22,99.02345467,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
435.58,99.39187513,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
436.48,100.1702761,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
436.49,100.1827123,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
436.49,100.1827123,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
436.68,100.4235328,23/10/2015,Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
437.21,100.5899733,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
437.22,100.5875332,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
